,Unnamed: 0.1,Unnamed: 0,Star_name,Distance,Mass,Radius,name,radius,mass,distance,Gravity
0,0,0,Sun,0.000015813,1,1,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99
1,1,1,Sirius,0008.6,2.1,1.71,2MASS J00040288-6410358,192.0,19.0,1.63
2,2,3,Alpha Centauri,0004.4,1.1,1.2,2MASS J00242463-0158201,37.7,79.0,1.09
3,3,5,Vega,0025,2.2,2.7,2MASS J00274197+0503417,236.0,31.0,1.44
4,4,7,Rigel,0860,23,78.9,2MASSW J0030300-145033,87.2,54.0,0.98
5,5,8,Procyon,0011.4,1.5,1.9,2MASS J00332386-1521309 [de],131.0,29.0,1.43
6,6,9,Betelgeuse,0640[1],20,950,2MASS J00345157+0523050,31.0,42.0,0.94
7,7,10,Achernar,0144,6.7,9.3,2MASS 0036+1821,28.6,42.0,0.94
8,8,11,Hadar,0390,10.5,8.6,2MASSW J0045214+163445,57.0,23.0,1.62
9,9,12,Altair,0017,1.8,1.8,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3
10,10,13,Acrux,0320,18,8.9,2MASS J00501994-3322402 [de],34.0,40.0,0.94
11,11,15,Antares,0600,12,680,2MASS J00584253-0651239 [de],96.0,29.0,1.43
12,12,17,Pollux,0034,1.9,8.8,2MASSI J0103320+193536,70.0,52.0,0.98
13,13,18,Fomalhaut,0025,1.9,1.8,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98
14,14,19,Deneb,"2,600",19,203,2MASSI J0117474-340325 [de],163.0,20.0,1.62
15,15,20,Mimosa,0350,16,8.4,2MASS J01415823-4633574 [de],130.0,20.0,1.61
16,16,21,Regulus,0077,3.8,3.1,SDSS J015141.69+124429.6,70.0,47.0,0.97
17,17,25,Gacrux,0088,1.5,84,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97
18,18,26,Bellatrix,0240,8.6,5.8,2MASS J02103857-3015313,101.0,15.0,1.53
19,19,27,Elnath,0130,5.0,4.2,2MASS J02340093-6442068,155.0,20.0,1.62
20,20,28,Miaplacidus,0110,3.5,6.8,2MASS J02411151-0326587 [de],152.0,27.0,1.41
21,21,29,Alnilam,"2,000",32,42,2MASS J02431371−2453298,35.0,33.0,0.99
22,22,30,Gamma Velorum,"01,100",9.0,6,LP 771-21,53.0,78.0,1.08
23,23,32,Alioth,0081,2.9,4.2,2MASS J02535980+3206373,184.0,65.0,1.9
24,24,33,Alnitak,01050,33,20,WISE J0254+0223,24.0,65.0,1.9
25,25,34,Dubhe,0120,4.25,30,DEN 0255-4700,16.2,80.0,0.97
26,26,35,Mirfak,0590,8.5,68,2MASS J03185403-3421292 [de],45.0,49.0,0.97
27,27,36,Wezen,"1,600",17,200,2MASS J03205965+1854233,47.0,88.0,1.15
28,28,37,Sargas,0270,5.7,26,2MASS J03231002-4631237,192.0,23.0,1.66
29,29,38,Kaus Australis,0140,3.5,6.8,SDSS J032553.17+042540.1,59.0,45.0,0.95
30,30,39,Avior,0630,9.0,130,2MASS J03264225-2102057 [de],80.0,18.0,1.3
31,31,40,Alkaid,0104,6.1,3.4,2MASS J03284265+2302051 [de],98.0,54.0,0.98
32,32,41,Menkalinan,081,2.39,2.77,2MASS J03341218-4953322,27.0,73.0,1.04
33,33,42,Atria,0390,7,92,LP 944-20,20.9,73.0,1.43
34,34,43,Alhena,0109,2.8,3.3,2MASP J0345432+254023,88.0,74.0,1.05
35,35,44,Peacock,0180,5.9,4.8,Teide 1,380.0,55.0,3.78
36,36,45,Alsephina[2],0080,2.4,2.9,2MASS J03510004-0052452,48.0,102.0,1.27
37,37,46,Mirzam,0500,13.5,10,2MASS J03552337+1133437,29.8,20.0,1.32
38,38,48,Alphard,0180,3.0,50,2MASS J04151954−0935066,18.6,30.0,0.95
39,39,50,Scheat,0196,2.1,95,2MASS J04285096-2253227 [de],85.0,80.0,1.09
40,40,51,Almaaz,0653,15,140,2MASS J04351612-1606574,34.0,100.0,1.26
41,41,52,Rasalgethi,0360,2.8,280,2MASS J04362788-4114465,142.0,39.0,1.97
42,42,53,Tau Ceti,011.9,0.783,0.893,2MASS J04390101-2353083 [de],29.5,48.0,0.97
43,43,55,Ran,010.48,0.82,0.74,2MASS J04433764+0002040,82.0,22.0,1.78
44,44,56,V382 Carinae,"08,900",20,485,2MASS J04455387-3048204 [de],42.0,64.0,1.0
45,45,57,Eta Carinae,"07,500",100,60 - 881,2MASS J04510093-3402150 [de],69.0,72.0,1.04
46,46,58,Delta Cephei,0887,4.5,44.5,2MASS J05002100+0330501 [de],44.0,64.0,1.0
47,47,59,Mu Cephei,"06,000",19.2,972,2MASS J05012406-0010452 [de],64.0,21.0,1.38
48,48,60,Titawin,044.25,1.27,1.48,2MASS J05160945-0445499 [de],73.0,47.0,0.97
49,49,61,Rho Cassiopeiae,"08,154",22,636-981,2MASS J0523−1403,40.0,68.0,1.01
51,51,65,61 Cygni,011.41,0.7,0.665,LSR 0602+3910 [de],34.6,28.0,1.41
52,52,66,R Doradus,0178,0.7 - 1.0,298,2MASS J06085283-2753583,102.0,38.0,1.51
53,53,69,54 Piscium,036.1,0.76,0.94,2MASS J06244595-4521548 [de],39.0,56.0,0.99
54,54,70,Mira,0300,1.2,370,2MASS J06411840-4322329 [de],65.0,67.0,1.01
55,55,71,RW Cephei,"014,000",13.9,"1,158",DENIS-P J0652197-253450 [de],51.0,75.0,1.05
56,56,73,V838 Monocerotis,"019,896",?,380 - 750,2MASS J07075327-4900503,60.0,72.0,1.03
57,57,74,HD 140283,0202,0.81,2.04,UGPS J072227.51-054031.2,13.4,26.0,0.98
58,58,75,II Pegasi,0130,0.8,3.4,2MASSI J0727182+171001 [de],29.6,41.0,0.94
59,59,76,VY Canis Majoris,"03,900",17,"1,420",2MASS J07290002-3954043 [de],25.8,37.0,0.94
60,60,77,Pistol Star,"025,000",100,320,SDSS J074201.41+205520.5 [de],49.0,43.0,0.94
61,61,79,UY Scuti,"05,100",7 - 10,755,DENIS-P J0751164-253043 [de],55.0,71.0,1.03
62,62,80,Barnard's Star,05.98,0.14,0.20,2MASS J07522390+1612157,60.0,68.0,2.01
63,63,81,HE 1523-0901,"010,000",0.80,27,DENIS J081730.0-615520,16.1,44.0,0.94
64,64,84,R136a1,"0163,000",290,32,2MASS J08251968+2115521 [de],35.0,52.0,0.98
65,65,85,Melnick 42,"0163,000",189,21.1,SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99
66,66,86,WR 102,"018,134",19,0.39,LHS 2021,55.0,88.0,1.15
67,67,87,VFTS 352,"0164,000",57.48,14.47,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96
68,68,88,YBP 1194,"02,772",1.01,0.99,2MASSI J0835425-081923 [de],23.53,62.0,1.0
69,69,89,Gliese 1214,047.5,0.16,0.21,2MASSI J0847287-153237 [de],43.0,64.0,1.0
70,70,90,Luhman 16,06.50,0.03 + 0.03,?,2MASS J08533619-0329321,27.6,77.0,1.07
71,71,91,NML Cygni,"05,251",50,"1,640 - 2,770",2MASSI J0859254-194926 [de],50.0,50.0,0.98
72,72,93,WOH G64,"0163,000",<20,"1,540 - 1,730",2MASSI J0937347+293142,20.0,42.0,0.94
73,73,94,TRAPPIST-1,039.6,0.089,0.12,2MASS 0939−2448,17.4,32.0,0.95
74,74,95,2MASS J0523-1403,040.3,0.07,0.086,2MASS J09490860-1545485 [de],59.0,49.0,0.96
75,75,96,WISE 0855−0714,07.27,0.003,?,2MASS J10073369-4555147,46.0,44.0,0.94
76,76,97,Icarus,"014,400,000,000",33,?,2MASSI J1010148-040649 [de],55.0,51.0,0.98
